Date;home;visitor;hgoal;vgoal;division
12.04.2014;Bor. Monchengladbach;VfB Stuttgart;1;1;1
12.04.2014;Bayern Munchen;Borussia Dortmund;0;3;1
13.04.2014;Bayer Leverkusen;Hertha BSC;2;1;1
13.04.2014;1899 Hoffenheim;FC Augsburg;2;0;1
17.04.2014;Eintracht Frankfurt;Hannover 96;2;3;1
19.04.2014;Eintracht Braunschweig;Bayern Munchen;0;2;1
19.04.2014;SC Freiburg;Bor. Monchengladbach;4;2;1
19.04.2014;Werder Bremen;1899 Hoffenheim;3;1;1
19.04.2014;Borussia Dortmund;1. FSV Mainz 05;4;2;1
19.04.2014;FC Augsburg;Hertha BSC;0;0;1
19.04.2014;Hamburger SV;VfL Wolfsburg;1;3;1
20.04.2014;1. FC Nurnberg;Bayer Leverkusen;1;4;1
20.04.2014;VfB Stuttgart;FC Schalke 04;3;1;1
25.04.2014;Hannover 96;VfB Stuttgart;0;0;1
26.04.2014;Bayern Munchen;Werder Bremen;5;2;1
26.04.2014;1. FSV Mainz 05;1. FC Nurnberg;2;0;1
26.04.2014;VfL Wolfsburg;SC Freiburg;2;2;1
26.04.2014;Hertha BSC;Eintracht Braunschweig;2;0;1
26.04.2014;1899 Hoffenheim;Eintracht Frankfurt;0;0;1
26.04.2014;Bayer Leverkusen;Borussia Dortmund;2;2;1
27.04.2014;FC Augsburg;Hamburger SV;3;1;1
27.04.2014;FC Schalke 04;Bor. Monchengladbach;0;1;1
03.05.2014;Hamburger SV;Bayern Munchen;1;4;1
03.05.2014;SC Freiburg;FC Schalke 04;0;2;1
03.05.2014;Eintracht Frankfurt;Bayer Leverkusen;0;2;1
03.05.2014;1. FC Nurnberg;Hannover 96;0;2;1
03.05.2014;VfB Stuttgart;VfL Wolfsburg;1;2;1
03.05.2014;Borussia Dortmund;1899 Hoffenheim;3;2;1
03.05.2014;Bor. Monchengladbach;1. FSV Mainz 05;3;1;1
03.05.2014;Eintracht Braunschweig;FC Augsburg;0;1;1
03.05.2014;Werder Bremen;Hertha BSC;2;0;1
10.05.2014;Hertha BSC;Borussia Dortmund;0;4;1
10.05.2014;VfL Wolfsburg;Bor. Monchengladbach;3;1;1
10.05.2014;Bayern Munchen;VfB Stuttgart;1;0;1
10.05.2014;Bayer Leverkusen;Werder Bremen;2;1;1
10.05.2014;FC Schalke 04;1. FC Nurnberg;4;1;1
10.05.2014;Hannover 96;SC Freiburg;3;2;1
10.05.2014;1. FSV Mainz 05;Hamburger SV;3;2;1
10.05.2014;1899 Hoffenheim;Eintracht Braunschweig;3;1;1
10.05.2014;FC Augsburg;Eintracht Frankfurt;2;1;1
19.07.2013;SV Sandhausen;VfR Aalen;0;0;2
19.07.2013;FC Ingolstadt 04;Erzgebirge Aue;1;2;2
19.07.2013;FC St. Pauli;1860 Munchen;1;0;2
20.07.2013;SC Paderborn 07;1. FC Kaiserslautern;0;1;2
20.07.2013;Dynamo Dresden;1. FC Koln;1;1;2
21.07.2013;SpVgg Greuther Furth;Arminia Bielefeld;2;0;2
21.07.2013;FSV Frankfurt;Karlsruher SC;0;1;2
21.07.2013;1. FC Union Berlin;VfL Bochum;1;2;2
22.07.2013;Fortuna Dusseldorf;Energie Cottbus;1;0;2
26.07.2013;VfR Aalen;SpVgg Greuther Furth;0;2;2
26.07.2013;Arminia Bielefeld;1. FC Union Berlin;1;1;2
26.07.2013;1. FC Kaiserslautern;FC Ingolstadt 04;3;1;2
27.07.2013;Erzgebirge Aue;SV Sandhausen;1;0;2
27.07.2013;Karlsruher SC;FC St. Pauli;0;0;2
28.07.2013;1860 Munchen;FSV Frankfurt;2;1;2
28.07.2013;Energie Cottbus;SC Paderborn 07;4;0;2
28.07.2013;1. FC Koln;Fortuna Dusseldorf;1;1;2
29.07.2013;VfL Bochum;Dynamo Dresden;1;1;2
09.08.2013;Fortuna Dusseldorf;1860 Munchen;1;2;2
09.08.2013;FSV Frankfurt;VfL Bochum;1;0;2
09.08.2013;Dynamo Dresden;1. FC Union Berlin;1;3;2
10.08.2013;SC Paderborn 07;1. FC Koln;1;1;2
10.08.2013;FC Ingolstadt 04;Karlsruher SC;0;2;2
11.08.2013;FC St. Pauli;Arminia Bielefeld;0;1;2
11.08.2013;SV Sandhausen;Energie Cottbus;2;2;2
11.08.2013;Erzgebirge Aue;VfR Aalen;0;1;2
12.08.2013;SpVgg Greuther Furth;1. FC Kaiserslautern;2;1;2
16.08.2013;Karlsruher SC;SpVgg Greuther Furth;1;2;2
16.08.2013;Arminia Bielefeld;SC Paderborn 07;3;3;2
16.08.2013;VfL Bochum;FC St. Pauli;2;2;2
17.08.2013;1. FC Kaiserslautern;Erzgebirge Aue;2;1;2
17.08.2013;1. FC Koln;SV Sandhausen;2;0;2
18.08.2013;1860 Munchen;FC Ingolstadt 04;1;0;2
18.08.2013;Energie Cottbus;VfR Aalen;5;1;2
18.08.2013;Dynamo Dresden;FSV Frankfurt;0;3;2
19.08.2013;1. FC Union Berlin;Fortuna Dusseldorf;2;1;2
23.08.2013;SV Sandhausen;Karlsruher SC;1;1;2
23.08.2013;FC Ingolstadt 04;Arminia Bielefeld;3;2;2
23.08.2013;Erzgebirge Aue;Energie Cottbus;2;1;2
24.08.2013;SpVgg Greuther Furth;1. FC Koln;0;0;2
24.08.2013;VfR Aalen;1. FC Kaiserslautern;4;0;2
25.08.2013;Fortuna Dusseldorf;VfL Bochum;1;0;2
25.08.2013;FSV Frankfurt;1. FC Union Berlin;1;1;2
25.08.2013;SC Paderborn 07;1860 Munchen;1;0;2
26.08.2013;FC St. Pauli;Dynamo Dresden;2;1;2
30.08.2013;FSV Frankfurt;SpVgg Greuther Furth;1;1;2
